citacao;ocorrencias;qtd_skills;skills
DECRETO 12534/2025;95;10;analise-bpc-loas, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-bpc-renda-per-capita-miserabilidade, base-legislacao-fontes-primarias, base-modelo-relatorio-medico-bpc-loas-deficiente, base-precedentes-catalogo-vinculantes, bpc-renda-grupo-familiar, carta-servicos-inss
PORTARIA 991/2022;93;35;auxilio-acidente-b94, base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-calculo-rmi-ec103, base-documentos-comprobatorios-in128, base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-legislacao-fontes-primarias, base-pcd-conversao-tempo-especial-pcd, base-pensao-por-morte-pos-reforma, base-pensao-por-morte-uniao-estavel-prova, base-portarias-dpmf-inss-hub, base-professor-regra-tr
LEI 8742/1993;88;29;analise-bpc-loas, aposentadoria-deficiencia, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-comprometimento-renda, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-bpc-renda-per-capita-miserabilidade, base-cadastro-domiciliar-cadunico-in21-2026, base-fungibilidade-previdenciaria, base-legislacao-fontes-primarias, base-modelo-relatorio-medico-bpc-loas-deficiente, base-pcd-fibromialgia-lei15176, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, base-siglas-inss, base-termo-inicial-dib-por-especie, base-tru-trf3-sumulas-jurisprudencia, base-validacao-formal-laudo-medico-checklist-ab, bpc-renda-grupo-familiar, carta-servicos-inss, deficiencia-
LEI 13460/2017;85;22;admissibilidade-barreiras-crps, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026, base-canais-falabr-corregedoria-cgu, base-efeito-translativo-tema-1124-defesa, base-erro-administrativo-iea-13975, base-ms-cabimento-direito-liquido-certo, base-ms-decadencia-omissao-demora, base-notificacao-extrajudicial-mapeamento-institucional, base-peticao-previdenciaria-padrao-visual, base-reabilitacao-profissional-portaria-1310-1333, base-recurso-crps-peca-enxuta, formacao-documentacao-did-pcd, lei-13460-usuario-servico-publico, peticao-previdenciaria, ponte-workflow-pensao-por-morte, ponte-workflow-reabilitacao-profissional, revis
TEMA 1090/STJ;79;23;auditoria-ppp, base-aposentadoria-especial-transicao-ec103, base-especial-agentes-biologicos, base-especial-agentes-quimicos, base-especial-calor-nho06, base-especial-eletricidade-periculosidade, base-especial-epi, base-especial-frio-camara-frigorifica, base-especial-penosidade-enfermagem-petroleiro, base-especial-periculosidade-motociclista-nr16-anexov, base-especial-ppp-mudanca-layout-historico, base-especial-radiacao-ionizante, base-especial-vibracao, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-tema383-tnu-fundacentro-epi-biologicos, base-tempo-especial-conversao, base-tolueno-tema-382-tnu-via-cutanea, carta-servicos-inss, defesa-probatoria-especial, precedentes-previdenciarios, printscreen-impacto, tempo-especial-peticoes-por-rito
PORTARIA 990/2022;71;35;base-aluno-aprendiz, base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-reclusao-pos-reforma, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-loas-requisitos, base-calculo-rmi-ec103, base-cnis-acerto-indicadores, base-contagem-reciproca-rgps-rpps, base-fungibilidade-previdenciaria, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-pensao-por-morte-pos-reforma, base-pensao-por-morte-uniao-estavel-prova, base-peticao-previdenciaria-padrao-visual, base-portarias-dpmf-inss-hub, base-revisao-peticao-aprofundada, base-rubricas-pagamento-inss, base-salario-contribuicao-limites, base-salario-maternidade-pos-reforma, base
LEI 10259/2001;71;16;base-bpc-aposentadoria-pcd-procedimentos, base-cpc-tutela-provisoria-previdenciaria, base-cumprimento-sentenca-rpv-precatorio, base-efeito-translativo-tema-1124-defesa, base-jef-previdenciario, base-jef-trf3-manual-2025, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual, base-recursos-jef, base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, base-tru-trf3-sumulas-jurisprudencia, defesa-probatoria-especial, execucao-cumprimento-previdenciario, lei-14128-covid-saude, pedilef-cotejo-analitico-tnu
LEI 15176/2025;65;13;analise-bpc-loas, aposentadoria-deficiencia, base-aposentadoria-pcd-lc142, base-bpc-impedimento-longo-prazo, base-modelo-relatorio-medico-aposentadoria-pcd-lc142, base-modelo-relatorio-medico-bpc-loas-deficiente, base-pcd-fibromialgia-lei15176, base-pcd-if-bra-metodologia, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss, formacao-documentacao-did-pcd, orientacao-cliente-pericia, relatorio-medico-assistente
ADI 3772;65;8;aposentadoria-professor-rgps, base-professor-direito-adquirido-ec20, base-professor-educacao-infantil-lei15326, base-professor-regra-transicao-idade-progressiva-ec103, base-professor-regra-transicao-pedagio-ec103, base-professor-regra-transicao-pontos-ec103, carta-servicos-inss, precedentes-previdenciarios
RESP 2246096;64;33;base-acumulacao-beneficios-ec103-art24, base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-pensao-por-morte-pos-reforma,
LEI 12016/2009;64;18;auxilio-acidente-b94, base-acumulacao-beneficios-ec103-art24, base-bpc-aposentadoria-pcd-procedimentos, base-cpc-tutela-provisoria-previdenciaria, base-erro-administrativo-iea-13975, base-fungibilidade-previdenciaria, base-ms-cabimento-direito-liquido-certo, base-ms-competencia-autoridade-coatora-inss-crps, base-ms-cumprimento-inss, base-ms-decadencia-omissao-demora, base-ms-liminar-art7-iii, base-notificacao-extrajudicial-mapeamento-institucional, base-peticao-previdenciaria-padrao-visual, base-puil-pedilef-vedacao-materia-processual, base-revisao-peticao-aprofundada, mandado-seguranca-previdenciario, ms-competencia-autoridade-coatora, peticao-previdenciaria
LEI 9784/1999;64;18;admissibilidade-barreiras-crps, base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026, base-canais-falabr-corregedoria-cgu, base-efeito-translativo-tema-1124-defesa, base-erro-administrativo-iea-13975, base-meu-inss-pat-gerid-fluxo, base-ms-decadencia-omissao-demora, base-notificacao-extrajudicial-mapeamento-institucional, base-pfe-inss-anpd-dpu-conade, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual, formacao-documentacao-did-pcd, incidentes-instrucao-crps, inss-canais-atendimento, lei-13460-usuario-servico-publico, mandado-seguranca-previdenciario
LEI 15157/2025;62;11;analise-bpc-loas, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-legislacao-fontes-primarias, base-modelo-relatorio-medico-bpc-loas-deficiente, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, base-tru-trf3-sumulas-jurisprudencia, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss
SUMULA 198/TFR;57;15;base-especial-calor-nho06, base-especial-categoria-profissional-pre1995, base-especial-frio-camara-frigorifica, base-especial-penosidade-enfermagem-petroleiro, base-especial-periculosidade-motociclista-nr16-anexov, base-especial-ppp-mudanca-layout-historico, base-especial-radiacao-ionizante, base-especial-ruido, base-legislacao-fontes-primarias, base-tema383-tnu-fundacentro-epi-biologicos, base-tolueno-tema-382-tnu-via-cutanea, carta-servicos-inss, defesa-probatoria-especial, inicial, ponte-workflow-aposentadoria-especial
