citacao;ocorrencias;qtd_skills;skills
DECRETO 53831;41;12;auditoria-ppp, base-especial-categoria-profissional-pre1995, base-especial-eletricidade-periculosidade, base-especial-penosidade-enfermagem-petroleiro, base-especial-periculosidade-motociclista-nr16-anexov, base-especial-ppp-mudanca-layout-historico, base-especial-ruido, base-legislacao-fontes-primarias, base-precedentes-catalogo-vinculantes, base-revisao-peticao-aprofundada, base-tolueno-tema-382-tnu-via-cutanea, segurado-especial-rural
SUMULA 85/STJ;39;17;base-aluno-aprendiz, base-analise-decisao-tres-eixos, base-cpc-prescricao-decadencia-processual, base-cumprimento-sentenca-rpv-precatorio, base-dano-moral-previdenciario, base-facultativo-baixa-renda, base-fungibilidade-previdenciaria, base-juros-correcao-monetaria, base-precedentes-catalogo-vinculantes, base-revisao-art29-melhor-beneficio, base-revisao-atividades-concomitantes-tema1070, base-revisao-irsm-fevereiro-1994, base-revisao-peticao-aprofundada, base-revisao-reajuste-ortn-otn, base-revisao-teto-buraco-negro-verde, base-revisao-vida-toda-rvt, lei-14128-covid-saude
PORTARIA 19/2026;39;12;analise-bpc-loas, analise-documental-incapacidade, aposentadoria-deficiencia, auditoria-laudo-pericial, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-pericia-medica-federal-telepericia, base-portarias-dpmf-inss-hub, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss, orientacao-cliente-pericia
LEI 10666/2003;38;8;aposentadoria-idade-hibrida, base-auxilio-reclusao-pos-reforma, base-contribuinte-em-dobro-lops-art9, contribuinte-individual-in128, impugnacao-cumprimento-concomitantes, ntep-nexo-acidentario, periodo-graca-qualidade-segurado, triagem-caso-novo
DECRETO 6949/2009;38;15;analise-bpc-loas, aposentadoria-deficiencia, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026, base-efeito-translativo-tema-1124-defesa, base-erro-administrativo-iea-13975, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional, base-pcd-deficiencia-auditiva-visual, base-pfe-inss-anpd-dpu-conade, base-precedentes-catalogo-vinculantes, base-validacao-formal-laudo-medico-checklist-ab, direitos-pcd-previdenciarios
TEMA 174/TNU;37;14;auditoria-ppp, base-aposentadoria-especial-transicao-ec103, base-especial-calor-nho06, base-especial-categoria-profissional-pre1995, base-especial-frio-camara-frigorifica, base-especial-ppp-mudanca-layout-historico, base-especial-radiacao-ionizante, base-especial-ruido, base-precedentes-catalogo-vinculantes, base-revisao-peticao-aprofundada, base-tolueno-tema-382-tnu-via-cutanea, carta-servicos-inss, pedilef-cotejo-analitico-tnu, precedentes-previdenciarios
PORTARIA 462/2026;37;12;admissibilidade-barreiras-crps, analise-documental-incapacidade, base-bpc-aposentadoria-pcd-procedimentos, base-crps-panorama-geral, base-legislacao-fontes-primarias, base-ms-competencia-autoridade-coatora-inss-crps, base-portarias-dpmf-inss-hub, base-recurso-crps-peca-enxuta, base-revisao-peticao-aprofundada, ntep-nexo-acidentario, orientacao-cliente-pericia, ponte-workflow-crps
PORTARIA 13/2026;37;8;analise-documental-incapacidade, base-incapacidade-b31-temporaria, base-pericia-medica-federal-telepericia, base-portarias-dpmf-inss-hub, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss, documentos-comprobatorios-in128, inss-canais-atendimento
TEMA 382/TNU;36;4;base-especial-agentes-quimicos, base-tolueno-tema-382-tnu-via-cutanea, defesa-probatoria-especial, precedentes-previdenciarios
TEMA 629/STJ;35;11;base-auxilio-acidente-b94-pos-reforma, base-b94-integracao-salario-beneficio-tema862, base-cpc-acao-rescisoria-previdenciaria, base-cpc-onus-prova-art373, base-desaposentacao-reaposentacao, base-especial-agentes-biologicos, base-especial-agentes-quimicos, base-tempo-rural-anterior-1991, coisa-julgada-previdenciaria, pedilef-cotejo-analitico-tnu, segurado-especial-rural
LEI 9032/1995;35;9;base-especial-agentes-quimicos, base-especial-categoria-profissional-pre1995, base-especial-eletricidade-periculosidade, base-especial-ppp-mudanca-layout-historico, base-precedentes-catalogo-vinculantes, base-tema383-tnu-fundacentro-epi-biologicos, base-tempo-especial-conversao, base-tolueno-tema-382-tnu-via-cutanea, reafirmacao-der
SUMULA 507/STJ;33;7;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-modelo-relatorio-medico-auxilio-acidente-b94, base-precedentes-catalogo-vinculantes, carta-servicos-inss
SUMULA 111/STJ;33;13;base-cpc-coisa-julgada-progressiva, base-cpc-fato-superveniente-art493, base-cpc-honorarios-sucumbencia-previdenciaria, base-cumprimento-sentenca-rpv-precatorio, base-fungibilidade-previdenciaria, base-jef-trf3-manual-2025, base-precedentes-catalogo-vinculantes, base-revisao-peticao-aprofundada, base-rito-ordinario-trf, honorarios-contrato-previdenciario, ponte-workflow-cumprimento-sentenca, precedentes-previdenciarios, reafirmacao-der
TEMA 213/TNU;33;10;auditoria-ppp, base-especial-agentes-biologicos, base-especial-agentes-quimicos, base-especial-epi, base-especial-vibracao, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-tema383-tnu-fundacentro-epi-biologicos, carta-servicos-inss, defesa-probatoria-especial
TEMA 1102/STF;32;9;base-aposentadoria-direito-adquirido, base-calculo-rmi-ec103, base-cpc-acao-rescisoria-previdenciaria, base-cpc-tutela-provisoria-previdenciaria, base-precedentes-catalogo-vinculantes, base-puil-pedilef-vedacao-materia-processual, base-revisao-peticao-aprofundada, base-revisao-vida-toda-rvt, carta-servicos-inss
SUMULA 47/TNU;32;14;auditoria-laudo-pericial, base-auxilio-acidente-b94-pos-reforma, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-pericia-medica-federal-telepericia, base-portarias-dpmf-inss-hub, base-reabilitacao-profissional, base-reabilitacao-profissional-portaria-1310-1333, base-revisao-peticao-aprofundada, base-validacao-formal-laudo-medico-checklist-ab, orientacao-cliente-pericia, perspectiva-genero-previdenciario
PORTARIA 37/2026;32;11;analise-bpc-loas, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-modelo-relatorio-medico-bpc-loas-deficiente, base-puil-pedilef-vedacao-materia-processual, base-revisao-peticao-aprofundada, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss, orientacao-cliente-pericia
LEI 11301/2006;31;10;aposentadoria-professor-rgps, base-aposentadoria-direito-adquirido, base-documentos-comprobatorios-in128, base-professor-direito-adquirido-ec20, base-professor-educacao-infantil-lei15326, base-professor-regra-transicao-idade-progressiva-ec103, base-professor-regra-transicao-pedagio-ec103, base-professor-regra-transicao-pontos-ec103, carta-servicos-inss, documentos-comprobatorios-in128
TEMA 211/TNU;31;8;auditoria-ppp, base-aposentadoria-especial-transicao-ec103, base-especial-agentes-biologicos, base-especial-agentes-quimicos, base-especial-eletricidade-periculosidade, base-especial-epi, base-especial-vibracao, base-precedentes-catalogo-vinculantes
TEMA 27/STF;31;16;analise-bpc-loas, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-comprometimento-renda, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-bpc-renda-per-capita-miserabilidade, base-cadastro-domiciliar-cadunico-in21-2026, base-modelo-relatorio-medico-bpc-loas-deficiente, base-precedentes-catalogo-vinculantes, base-rito-ordinario-trf, base-validacao-formal-laudo-medico-checklist-ab, bpc-renda-grupo-familiar, carta-servicos-inss, orientacao-cliente-pericia, precedentes-previdenciarios
IN 21/2026;31;3;base-bpc-loas-requisitos, base-cadastro-domiciliar-cadunico-in21-2026, base-modelo-relatorio-medico-bpc-loas-deficiente
SUMULA 89/TNU;30;8;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-anexo-iii-quadros, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-fungibilidade-previdenciaria, base-modelo-relatorio-medico-auxilio-acidente-b94, carta-servicos-inss
DECRETO 10410/2020;30;13;base-legislacao-fontes-primarias, base-ms-cabimento-direito-liquido-certo, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94, carta-servicos-inss, cnis-acerto-indicadores, contribuicoes-complementacao-ec103, impugnacao-cumprimento-concomitantes, indenizacao-contribuicoes-atraso, mandado-seguranca-previdenciario, periodo-graca-qualidade-segurado, reafirmacao-der, segurado-especial-rural
PORTARIA 1316/2025;29;16;base-aluno-aprendiz, base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-calculo-rmi-ec103, base-cnis-acerto-indicadores, base-contagem-reciproca-rgps-rpps, base-portarias-dpmf-inss-hub, base-salario-contribuicao-limites, base-servico-militar-obrigatorio, base-tempo-especial-conversao, base-tempo-rural-anterior-1991, cnis-acerto-indicadores, contribuicoes-complementacao-ec103
TEMA 1050/STJ;29;12;base-cpc-coisa-julgada-progressiva, base-cpc-fato-superveniente-art493, base-cpc-honorarios-sucumbencia-previdenciaria, base-cumprimento-sentenca-rpv-precatorio, base-jef-trf3-manual-2025, base-precedentes-catalogo-vinculantes, base-revisao-peticao-aprofundada, base-revisao-vida-toda-rvt, base-rito-ordinario-trf, honorarios-contrato-previdenciario, ponte-workflow-cumprimento-sentenca, precedentes-previdenciarios
TEMA 327/TNU;28;10;base-facultativo-baixa-renda, base-pcd-fibromialgia-lei15176, base-pcd-if-bra-metodologia, base-salario-maternidade-pos-reforma, base-segurado-especial-autodeclaracao-arts-92-93-94, base-seguro-defeso-pescador-artesanal, base-tempo-rural-anterior-1991, carta-servicos-inss, perspectiva-genero-previdenciario, segurado-especial-rural
TEMA 1007/STJ;27;10;aposentadoria-idade-hibrida, base-aposentadoria-regra-permanente-ec103, base-fungibilidade-previdenciaria, base-jef-trf3-manual-2025, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94, carta-servicos-inss, segurado-especial-rural, triagem-caso-novo
TEMA 201/TNU;27;6;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-integracao-salario-beneficio-tema862, base-b94-sequela-minima-tema201, base-modelo-relatorio-medico-auxilio-acidente-b94, carta-servicos-inss
SUMULA 88/TNU;27;10;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-anexo-iii-quadros, base-b94-sequela-minima-tema201, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-modelo-relatorio-medico-auxilio-acidente-b94, base-portarias-dpmf-inss-hub, base-validacao-formal-laudo-medico-checklist-ab, orientacao-cliente-pericia
IN 54/2026;27;2;base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026
LEI 7713/1988;27;10;base-cumprimento-sentenca-rpv-precatorio, base-juros-correcao-monetaria, base-rt-ajuizamento-vinculo-previdenciario, base-rubricas-pagamento-inss, direitos-pcd-previdenciarios, execucao-cumprimento-previdenciario, inss-canais-atendimento, lei-14128-covid-saude, ponte-workflow-cumprimento-sentenca, tributacao-beneficios-previdenciarios
TEMA 1083/STJ;26;9;base-aposentadoria-especial-transicao-ec103, base-calculo-rmi-ec103, base-incapacidade-acidentaria-b92, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-precedentes-catalogo-vinculantes, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss, precedentes-previdenciarios
IRDR 15;26;6;base-especial-epi, base-portarias-dpmf-inss-hub, base-tema383-tnu-fundacentro-epi-biologicos, base-tolueno-tema-382-tnu-via-cutanea, defesa-probatoria-especial, tempo-especial-peticoes-por-rito
LEI 8112/1990;25;6;base-acumulacao-beneficios-ec103-art24, base-canais-falabr-corregedoria-cgu, base-erro-administrativo-iea-13975, base-notificacao-extrajudicial-mapeamento-institucional, deficiencia-auditiva-previdenciaria, direitos-pcd-previdenciarios
PORTARIA 15/2026;25;8;analise-documental-incapacidade, base-auxilio-acidente-b94-pos-reforma, base-pericia-medica-federal-telepericia, base-portarias-dpmf-inss-hub, base-revisao-peticao-aprofundada, base-validacao-formal-laudo-medico-checklist-ab, documentos-comprobatorios-in128, inss-canais-atendimento
SUMULA 577/STJ;25;8;base-cpc-onus-prova-art373, base-fungibilidade-previdenciaria, base-pcd-did-retroativa, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94, base-tempo-rural-anterior-1991, formacao-documentacao-did-pcd
DECRETO 3048/1999;25;8;auxilio-acidente-b94, base-erro-administrativo-iea-13975, base-especial-ruido, base-notificacao-extrajudicial-mapeamento-institucional, base-servico-militar-obrigatorio, base-tema383-tnu-fundacentro-epi-biologicos, base-tempo-especial-conversao, inss-canais-atendimento
SUMULA 63/TNU;24;8;base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-incapacidade-b31-temporaria, base-pensao-por-morte-pos-reforma, base-pensao-por-morte-uniao-estavel-prova, carta-servicos-inss, pensao-por-morte, ponte-workflow-pensao-por-morte
TEMA 1030/STJ;24;7;base-cpc-coisa-julgada-progressiva, base-jef-previdenciario, base-jef-trf3-manual-2025, base-rito-ordinario-trf, base-tru-trf3-sumulas-jurisprudencia, execucao-cumprimento-previdenciario, ponte-workflow-cumprimento-sentenca
ADI 3931;23;4;base-b94-nexo-acidentario-ntep, base-incapacidade-acidentaria-b92, carta-servicos-inss, ntep-nexo-acidentario
QO 20/TNU;23;6;base-bpc-loas-requisitos, base-cpc-fato-superveniente-art493, base-precedentes-catalogo-vinculantes, pedilef-cotejo-analitico-tnu, periodo-graca-qualidade-segurado, reafirmacao-der
LEI 9099/1995;23;9;base-cpc-embargos-declaracao, base-jef-previdenciario, base-jef-trf3-manual-2025, base-recurso-crps-peca-enxuta, base-recursos-jef, base-revisao-peticao-aprofundada, coisa-julgada-previdenciaria, honorarios-contrato-previdenciario, pedilef-cotejo-analitico-tnu
TEMA 810/STF;22;6;base-cumprimento-sentenca-rpv-precatorio, base-jef-trf3-manual-2025, base-juros-correcao-monetaria, base-revisao-peticao-aprofundada, base-rito-ordinario-trf, execucao-cumprimento-previdenciario
SUMULA 555/STJ;22;8;base-especial-calor-nho06, base-especial-categoria-profissional-pre1995, base-especial-frio-camara-frigorifica, base-especial-penosidade-enfermagem-petroleiro, base-especial-radiacao-ionizante, base-legislacao-fontes-primarias, base-tru-trf3-sumulas-jurisprudencia, carta-servicos-inss
QO 10/TNU;22;3;base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
TEMA 503/STF;21;6;base-aposentadoria-direito-adquirido, base-desaposentacao-reaposentacao, base-revisao-peticao-aprofundada, carta-servicos-inss, precedentes-previdenciarios, reafirmacao-der
RE 631240;21;11;base-auxilio-acidente-b94-pos-reforma, base-canais-falabr-corregedoria-cgu, base-efeito-translativo-tema-1124-defesa, base-erro-administrativo-iea-13975, base-fungibilidade-previdenciaria, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional, base-pericia-medica-federal-telepericia, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94, tema-1124-instrucao-administrativa
TEMA 905/STJ;21;7;base-cumprimento-sentenca-rpv-precatorio, base-jef-trf3-manual-2025, base-juros-correcao-monetaria, base-revisao-peticao-aprofundada, base-rito-ordinario-trf, base-tru-trf3-sumulas-jurisprudencia, ponte-workflow-cumprimento-sentenca
TEMA 1011/STJ;21;9;aposentadoria-professor-rgps, base-fungibilidade-previdenciaria, base-precedentes-catalogo-vinculantes, base-professor-direito-adquirido-ec20, base-professor-educacao-infantil-lei15326, base-professor-regra-transicao-idade-progressiva-ec103, base-professor-regra-transicao-pedagio-ec103, base-professor-regra-transicao-pontos-ec103, precedentes-previdenciarios
ADI 6096;21;7;admissibilidade-barreiras-crps, base-legislacao-fontes-primarias, base-revisao-peticao-aprofundada, bpc-renda-grupo-familiar, carta-servicos-inss, decadencia-revisao-previdenciaria, tema-1124-instrucao-administrativa
LEI 13183/2015;20;8;aposentadoria-professor-rgps, base-aposentadoria-direito-adquirido, base-aposentadoria-transicao-ec103, base-desaposentacao-reaposentacao, base-pensao-por-morte-pos-reforma, base-termo-inicial-dib-por-especie, carta-servicos-inss, pensao-por-morte
ARE 664335;20;10;auditoria-ppp, base-aposentadoria-especial-transicao-ec103, base-especial-agentes-biologicos, base-especial-eletricidade-periculosidade, base-especial-epi, base-especial-ruido, base-tolueno-tema-382-tnu-via-cutanea, defesa-probatoria-especial, pedilef-cotejo-analitico-tnu, retificacao-ppp
PORTARIA 2/2015;20;3;analise-bpc-loas, base-bpc-loas-requisitos, base-precedentes-catalogo-vinculantes
TEMA 28/STF;20;4;base-cpc-coisa-julgada-progressiva, base-cpc-teoria-capitulos-sentenca, base-ms-cumprimento-inss, execucao-cumprimento-previdenciario
IRDR 18;20;4;base-cpc-coisa-julgada-progressiva, base-cpc-teoria-capitulos-sentenca, base-cumprimento-sentenca-rpv-precatorio, execucao-cumprimento-previdenciario
LC 75;20;4;base-erro-administrativo-iea-13975, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional, base-pfe-inss-anpd-dpu-conade
TEMA 383/TNU;20;5;base-especial-agentes-biologicos, base-especial-epi, base-portarias-dpmf-inss-hub, base-tema383-tnu-fundacentro-epi-biologicos, carta-servicos-inss
TEMA 1031/STJ;20;8;base-especial-penosidade-enfermagem-petroleiro, base-especial-periculosidade-motociclista-nr16-anexov, base-especial-ppp-mudanca-layout-historico, base-especial-ruido, base-fungibilidade-previdenciaria, base-precedentes-catalogo-vinculantes, base-tema383-tnu-fundacentro-epi-biologicos, defesa-probatoria-especial
QO 48/TNU;20;3;base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
TEMA 555/STJ;19;5;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-precedentes-catalogo-vinculantes
SUMULA 86/TNU;19;3;base-precedentes-catalogo-vinculantes, base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual
PORTARIA 1/2014;19;7;analise-bpc-loas, aposentadoria-deficiencia, base-puil-pedilef-vedacao-materia-processual, deficiencia-auditiva-previdenciaria, direitos-pcd-previdenciarios, formacao-documentacao-did-pcd, mandado-seguranca-previdenciario
LEI 11718/2008;19;5;aposentadoria-idade-hibrida, base-segurado-especial-autodeclaracao-arts-92-93-94, base-tempo-rural-anterior-1991, carta-servicos-inss, contribuinte-individual-in128
RE 630501;18;8;base-aposentadoria-direito-adquirido, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-calculo-rmi-ec103, base-fungibilidade-previdenciaria, base-revisao-art29-melhor-beneficio, carta-servicos-inss, reafirmacao-der
TEMA 173/TNU;18;9;analise-bpc-loas, base-bpc-impedimento-longo-prazo, base-cadastro-domiciliar-cadunico-in21-2026, base-pcd-conversao-tempo-especial-pcd, base-pcd-deficiencia-auditiva-visual, base-pcd-did-retroativa, base-pcd-if-bra-metodologia, base-precedentes-catalogo-vinculantes, base-validacao-formal-laudo-medico-checklist-ab
IN 164/2024;18;5;base-cnis-acerto-indicadores, base-documentos-comprobatorios-in128, carta-servicos-inss, cnis-acerto-indicadores, inss-canais-atendimento
DECRETO 83080;18;7;auditoria-ppp, base-especial-categoria-profissional-pre1995, base-especial-penosidade-enfermagem-petroleiro, base-especial-ppp-mudanca-layout-historico, base-especial-ruido, base-precedentes-catalogo-vinculantes, base-tolueno-tema-382-tnu-via-cutanea
TEMA 305/TNU;18;4;base-pcd-deficiencia-auditiva-visual, base-pcd-did-retroativa, base-pcd-fibromialgia-lei15176, base-pcd-if-bra-metodologia
TEMA 1091/STF;18;6;aposentadoria-professor-rgps, base-professor-educacao-infantil-lei15326, base-professor-regra-transicao-idade-progressiva-ec103, base-professor-regra-transicao-pedagio-ec103, base-professor-regra-transicao-pontos-ec103, precedentes-previdenciarios
QO 35/TNU;18;4;base-puil-pedilef-vedacao-materia-processual, base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
QO 24/TNU;18;3;base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
MP 1596-14/1997;17;3;base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-modelo-relatorio-medico-auxilio-acidente-b94
LEI 15077/2024;17;2;base-bpc-loas-requisitos, base-cadastro-domiciliar-cadunico-in21-2026
LEI 13709/2018;17;4;base-canais-falabr-corregedoria-cgu, base-erro-administrativo-iea-13975, base-pfe-inss-anpd-dpu-conade, formacao-documentacao-did-pcd
SUMULA 98/STJ;17;2;base-efeito-translativo-tema-1124-defesa, base-puil-pedilef-vedacao-materia-processual
DECRETO 2172;17;6;auditoria-ppp, base-especial-eletricidade-periculosidade, base-especial-ruido, base-especial-vibracao, base-precedentes-catalogo-vinculantes, base-tolueno-tema-382-tnu-via-cutanea
SUMULA 42/TNU;17;4;base-puil-pedilef-vedacao-materia-processual, base-revisao-peticao-aprofundada, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
QO 59/TNU;17;1;pedilef-cotejo-analitico-tnu
EC 113/2021;16;6;auxilio-acidente-b94, base-cnis-acerto-indicadores, base-jef-trf3-manual-2025, base-juros-correcao-monetaria, base-revisao-peticao-aprofundada, execucao-cumprimento-previdenciario
TEMA 1370/STJ;16;5;base-cpc-acao-rescisoria-previdenciaria, base-revisao-peticao-aprofundada, carta-servicos-inss, decadencia-revisao-previdenciaria, tema-1124-instrucao-administrativa
PORTARIA 1309/2025;16;3;base-erro-administrativo-iea-13975, base-notificacao-extrajudicial-mapeamento-institucional, base-portarias-dpmf-inss-hub
TEMA 317/TNU;16;7;auditoria-ppp, base-especial-ruido, carta-servicos-inss, documentos-comprobatorios-in128, especificacao-provas, precedentes-previdenciarios, revisao-peticao
TEMA 219/TNU;16;6;base-facultativo-baixa-renda, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94, base-seguro-defeso-pescador-artesanal, carta-servicos-inss, segurado-especial-rural
PORTARIA 14/2026;16;7;analise-documental-incapacidade, base-incapacidade-b91-permanente, base-pericia-medica-federal-telepericia, base-portarias-dpmf-inss-hub, base-validacao-formal-laudo-medico-checklist-ab, carta-servicos-inss, documentos-comprobatorios-in128
TEMA 1115/STJ;16;6;base-jef-trf3-manual-2025, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-segurado-especial-autodeclaracao-arts-92-93-94, precedentes-previdenciarios, segurado-especial-rural
TEMA 975/STJ;16;10;base-precedentes-catalogo-vinculantes, base-revisao-art29-melhor-beneficio, base-revisao-irsm-fevereiro-1994, base-revisao-peticao-aprofundada, base-revisao-reajuste-ortn-otn, base-revisao-teto-buraco-negro-verde, base-revisao-vida-toda-rvt, carta-servicos-inss, decadencia-revisao-previdenciaria, tema-1124-instrucao-administrativa
SUMULA 726/STF;16;5;base-professor-direito-adquirido-ec20, base-professor-educacao-infantil-lei15326, base-professor-regra-transicao-idade-progressiva-ec103, base-professor-regra-transicao-pedagio-ec103, base-professor-regra-transicao-pontos-ec103
QO 18/TNU;16;2;base-puil-pedilef-vedacao-materia-processual, pedilef-cotejo-analitico-tnu
IN 188/2025;16;6;aposentadoria-idade-hibrida, carta-servicos-inss, contribuicoes-complementacao-ec103, pensao-por-morte, periodo-graca-qualidade-segurado, triagem-caso-novo
RE 1510285;15;2;base-acumulacao-beneficios-ec103-art24, precedentes-previdenciarios
EC 20/1998;15;6;base-aposentadoria-direito-adquirido, base-precedentes-catalogo-vinculantes, base-revisao-teto-buraco-negro-verde, base-salario-familia-quota, carta-servicos-inss, contribuinte-individual-in128
SUMULA 377/STJ;15;4;base-aposentadoria-pcd-lc142, base-modelo-relatorio-medico-aposentadoria-pcd-lc142, base-modelo-relatorio-medico-auxilio-acidente-b94, base-modelo-relatorio-medico-bpc-loas-deficiente
RESP 2240220;15;4;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, carta-servicos-inss, pensao-por-morte
LEI 12527/2011;15;7;base-cadastro-domiciliar-cadunico-in21-2026, base-canais-falabr-corregedoria-cgu, base-erro-administrativo-iea-13975, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional, base-tema383-tnu-fundacentro-epi-biologicos, lei-13460-usuario-servico-publico
TEMA 368/STF;15;4;base-cumprimento-sentenca-rpv-precatorio, base-revisao-peticao-aprofundada, ponte-workflow-cumprimento-sentenca, tributacao-beneficios-previdenciarios
TEMA 694/STJ;15;5;base-especial-categoria-profissional-pre1995, base-especial-ruido, base-pcd-conversao-tempo-especial-pcd, base-precedentes-catalogo-vinculantes, base-tempo-especial-conversao
PORTARIA 2021/2025;15;3;base-especial-periculosidade-motociclista-nr16-anexov, carta-servicos-inss, defesa-probatoria-especial
SUMULA 27/TNU;15;9;base-facultativo-baixa-renda, base-incapacidade-b31-temporaria, base-precedentes-catalogo-vinculantes, base-salario-maternidade-pos-reforma, contribuicoes-complementacao-ec103, pensao-por-morte, periodo-graca-qualidade-segurado, precedentes-previdenciarios, segurado-especial-rural
PORTARIA 1419/2024;15;3;base-incapacidade-acidentaria-b92, carta-servicos-inss, ntep-nexo-acidentario
SUMULA 271/STF;15;4;base-ms-cabimento-direito-liquido-certo, base-ms-cumprimento-inss, base-ms-liminar-art7-iii, base-revisao-peticao-aprofundada
TEMA 81/TNU;15;3;base-pensao-por-morte-pos-reforma, base-precedentes-catalogo-vinculantes, pensao-por-morte
QO 47/TNU;15;3;base-recurso-crps-peca-enxuta, base-tnu-admissibilidade-manual, pedilef-cotejo-analitico-tnu
TEMA 349/TNU;15;4;contribuicoes-complementacao-ec103, impugnacao-cumprimento-concomitantes, pensao-por-morte, periodo-graca-qualidade-segurado
EC 41/2003;14;3;base-acumulacao-beneficios-ec103-art24, base-precedentes-catalogo-vinculantes, base-revisao-teto-buraco-negro-verde
SUMULA 552/STJ;14;4;base-aposentadoria-pcd-lc142, base-pcd-deficiencia-auditiva-visual, carta-servicos-inss, deficiencia-auditiva-previdenciaria
TEMA 609/STJ;14;5;base-aposentadoria-regra-permanente-ec103, base-contagem-reciproca-rgps-rpps, base-tempo-rural-anterior-1991, carta-servicos-inss, indenizacao-contribuicoes-atraso
LEI 9528/1997;14;7;auxilio-acidente-b94, base-auxilio-acidente-b94-pos-reforma, base-b94-cessacao-acumulacao-vedacao, base-precedentes-catalogo-vinculantes, base-tempo-especial-conversao, indenizacao-contribuicoes-atraso, pensao-por-morte
TEMA 357/TNU;14;3;auxilio-reclusao-previdenciario, base-auxilio-reclusao-pos-reforma, carta-servicos-inss
TEMA 692/STF;14;2;base-cpc-tutela-provisoria-previdenciaria, base-ms-liminar-art7-iii
TEMA 698/STJ;14;2;base-efeito-translativo-tema-1124-defesa, base-puil-pedilef-vedacao-materia-processual
PORTARIA 1231/2024;14;2;base-erro-administrativo-iea-13975, base-notificacao-extrajudicial-mapeamento-institucional
IN 77/2015;14;6;base-especial-epi, base-especial-ppp-mudanca-layout-historico, base-planejamento-previdenciario, indenizacao-contribuicoes-atraso, inss-canais-atendimento, reafirmacao-der
